"","V1","V2","V3","V4","V5","V6"
"1",18.3872099889448,16.5113678456069,14.5109024775017,12.4456372804367,10.3504337851761,8.33361802101984
"2",18.3594331772258,16.7411570255084,15.090075196838,13.4308005215647,11.7771498186143,10.1465092657669
"3",18.3747134834739,16.4761922076404,14.452413753749,12.3664892327239,10.2813636528543,8.23784771295736
"4",18.3754857452415,16.6242478614063,14.7982065861244,12.9405113456581,11.0867444473943,9.25728179857999
"5",18.3707250592661,16.5114477455194,14.5551973563158,12.5289261252369,10.4510546147423,8.34858073642412
"6",18.3419527911732,16.3802174122942,14.3167034993366,12.2054491735242,10.0538434157299,7.91284083783211
"7",18.3753799407089,16.3302470109509,14.1233859636673,11.852719684517,9.62995939480574,7.47217216333044
"8",18.3935677158511,16.6393162847849,14.8073777333405,12.9816568860859,11.1742349096495,9.37945484174291
"9",18.3750873819985,16.718886484156,14.9994333430377,13.2687037429788,11.5389535780084,9.80235189397668
"10",18.3862717879689,16.4712851263901,14.4605483607709,12.3872226379372,10.3025825973309,8.24963470721632
