1.632041511535644673e+01,1.650577802610612466e+01,4.583325568204823064e+00
1.635137660026550321e+01,1.625219005927463911e+01,1.139810002502116326e+01
1.629488759994506708e+01,1.605758524220962613e+01,7.287321851327735800e+00
1.639010377883911218e+01,1.634523042180471464e+01,9.860505493163330470e+00
1.631670867919921974e+01,1.703392465688885693e+01,1.372170134057393653e+01
1.623490203857421932e+01,1.632833922682696226e+01,7.548691299297063395e+00
1.638391818046569881e+01,1.673618296171464692e+01,1.151666399686631159e+01
1.637462348937988210e+01,1.733843028093524907e+01,1.123815074134389391e+01
1.637474515914917106e+01,1.624265765800367944e+01,3.514432716750552466e+00
1.636886230468750014e+01,1.641047287305898905e+01,5.244320889293578425e+00
