5.406319121042887588e+01,5.588621473000901574e+01,3.639193345357400489e+01
5.421649734497070483e+01,5.655641713234702905e+01,4.853889408996862187e+01
5.349887825012206832e+01,5.532583280992646024e+01,3.931230673892090977e+01
5.393126219431559321e+01,5.644471753898525179e+01,4.635385760049720005e+01
5.411677046457926110e+01,5.801335327230391670e+01,6.679664884415424808e+01
5.421848691304524692e+01,5.674171131920603273e+01,4.895407501732329791e+01
5.394354423522949560e+01,5.693437207074372708e+01,5.400529043102151405e+01
5.401191605885823321e+01,6.502726464251291816e+01,1.460510012075038162e+02
5.398187913258870196e+01,5.671710852427969485e+01,4.911254301942888389e+01
5.444960137685139756e+01,5.814154042269826306e+01,6.884344987437060581e+01
